DATA,Velocità media (m/s),Velocità raffica (m/s),Settore prevalente,Tempo permanenza (min),Durata calma (min),Vento classe
1992-11-22,4.2,15.3,WSW,420,0,M00000
1992-11-23,2.8,7.1,ENE,350,0,M00000
1992-11-24,2.4,6.8,ENE,460,10,M00000
1992-11-25,3.4,11.4,SW,430,20,M00000
1992-11-26,5.4,15.5,W,610,0,M00000
1992-11-27,2.9,13.7,SW,190,20,M00000
1992-11-28,5.2,13.9,SW,770,0,M00000
1992-11-29,3.3,12.3,WSW,320,0,M00000
1992-11-30,1.6,4.3,E,530,50,M00000
1992-12-01,0.8,3.3,E,310,100,M00000
1992-12-02,1.2,10.1,SSW,210,200,M00000
1992-12-03,3.3,15.6,SSW,370,0,M00000
1992-12-04,3.3,17.1,SSW,290,120,M00000
1992-12-05,3.8,13.9,SW,780,150,M00000
1992-12-06,3.3,15.0,SW,480,10,M00000
1992-12-07,0.8,5.6,E,170,170,M00000
1992-12-08,0.9,4.4,E,270,120,M00000
1992-12-09,0.9,4.9,E,290,220,M*****
1992-12-10,2.2,5.2,E,440,60,M00000
1992-12-11,2.4,6.3,E,500,40,M00000
1992-12-12,5.1,18.0,SW,680,0,M00000
1992-12-13,2.4,7.9,ESE,310,20,M00000
1992-12-14,1.8,6.0,ENE,450,20,M00000
1992-12-15,1.6,7.1,E,470,30,M00000
1992-12-16,1.1,6.6,E,400,180,M00000
1992-12-17,2.1,5.5,ENE,610,30,M00000
1992-12-18,1.4,8.3,E,470,20,M00000
1992-12-19,1.8,5.6,E,420,10,M00000
1992-12-20,1.8,5.4,NE,350,50,M00000
1992-12-21,1.4,5.3,E,300,90,M00000
1992-12-22,0.9,2.9,E,440,70,M00000
1992-12-23,0.6,2.3,E,280,300,M00000
1992-12-24,1.3,4.2,E,380,30,M00000
1992-12-25,2.2,5.8,ENE,640,60,M00000
1992-12-26,1.4,5.5,ENE,320,130,M*****
1992-12-27,3.1,7.6,ENE,670,20,M00000
1992-12-28,2.0,7.5,E,330,110,M*****
1992-12-29,2.3,6.5,E,450,70,M00000
1992-12-30,3.1,6.5,ENE,580,20,M00000
1992-12-31,3.0,6.1,ENE,730,0,M00000
1993-01-01,3.3,6.1,ENE,720,10,M00000
1993-01-02,1.4,8.5,ENE,410,170,M00000
1993-01-03,2.4,6.9,ENE,520,30,M00000
1993-01-04,1.2,5.5,E,450,160,M00000
1993-01-05,1.7,4.9,E,650,30,M00000
1993-01-06,2.2,4.9,E,600,0,M00000
1993-01-07,2.4,7.4,E,350,10,M00000
